title,type,genre,release_year,duration,rating,country,date_added
The Adventures,Movie,Action,2008.0,182 min,4.3,,2017-06-04
War 1,TV Show,Documentary,1985.0,5 Seasons,,Turkey,2015-11-21
   ,TV Show,Crime,2020.0,,,   ,
Shadow Day 3,Movie,History,2020.0,114 min,4.0,Japan,2023-07-22
A Story 4,Movie,Fantasy,2023.0,98 min,,Spain,2017-09-14
War 5,Movie,Adventure,2016.0,199 min,   ,,2019-12-19
The Secret 6,Movie,Music,2008.0,90 min,7.0,Canada,2021-07-08
Fall 7,TV Show,Music,1851.0,   ,8.4,Japan,
   ,Movie,Documentary,2006.0,,6.7,    Colombia  ,   
Dark Revenge 9,TV Show,  Action    ,2014.0,4 Seasons,5.0,Spain,2022-02-23
Hidden Chronicles 10,Movie,Sci-Fi,2017.0,74 min,12.478079925187613,,2023-05-25
Dark Life 11,TV Show,  Adventure  ,2019.0,2 Seasons,3.6,,2023-03-08
Tales 12,Tv show,War  ,1985.0,-30 min,8.4,Denmark,2022-07-26
,Movie,Action,2025.0,   ,7.3,,2020-08-29
Awakening 14,Movie,Drama,1989.0,115 min,6.2,Japan,2025-05-08
Dark Revenge 15,MOVIE,Action,,131 min,   ,USA,2024-02-26
Journey 16,Movie,War,2023.0,,6.7,South Africa,2015-09-12
Wild Day 17,Movie,DRAMA,2036,,5.7,,2018-01-13
Perfect Legend 18,movie,Family,1986.0,182 min,,Brazil  ,
Day 19,Movie,Documentary,2008.0,114 min,9.5,SOUTH AFRICA,2024-08-11
War 20,movie,Action,1995.0,,6.6,Denmark,2019-07-10
Last Awakening 21,Movie,WAR,1980.0,172 min,6.5,,2015-01-09
Love 22,Movie,Romance,2014.0,77 min,,France,2015-01-23
Forgotten Fall 23,Movie,Adventure,2008.0,7 hrs,7.5,INDIA,2020-07-15
Hidden Heart 24,Movie,Comedy,2040.0,73 min,7.3,Colombia,2021-06-13
Dark Chronicles 25,TV Show,mystery,1992.0,,3.9,,2024-12-30
Last Rise 26,Movie,Thriller,2019.0,-11 min,0,Egypt,
Shadow Adventures 27,Movie,Fantasy,1991.0,142 min,7.1,South Korea,2024-11-15
Journey 28,Movie,Horror,2002.0,97 min,8.4,Germany,
Shadow War 29,MOVIE,Animation,2025.0,123 min,7.9,,2025-03-24
A War 30  ,Movie,Romance,1995.0,106 min,9.4,Canada,2017-10-31
  Deadly Soul 31  ,Movie,Drama,1993.0,127 min,4.0,Mexico,2021-07-29
Game 32,Movie,Horror,1995.0,95 min,,Spain,2016-11-29
Deadly Game 33,TV Show,Romance,1985.0,2 Seasons,4.2,Poland,2017-06-02
Wild Beginning 34,TV Show,Crime,2015.0,,8.3,  Australia,2018-09-15
Forgotten Life 35,TV Show,Music,2003.0,1 Season,,Mexico,2021-12-11
War 36,Movie,Comedy,2006.0,174 min,,Egypt,   
Shadow Dream 37,Movie,Music,2004.0,66 min,6.1,France,   
Broken Beginning 38,TV Show,Documentary,2019.0,1 Season,9.1,UK  ,2022-05-28
Perfect War 39,Movie,,2015.0,124 min,8.2,Brazil,2022
,Movie,Mystery,2008.0,162 min,-1.5213787586600398,,2015-09-04
A Awakening 41,Movie,   ,2010.0,103 min,,France,2016-12-26
Fall 42,Movie,Horror,1982.0,187 min,3.7,,   
Return 43,TV Show,Documentary,,3 Seasons,8.9,France,2024-10-08
Last Soul 44,Movie,Comedy,1983.0,138 min,8.0,Turkey,2017-05-11
Forgotten Code 45,TV Show,Adventure,1990.0,6 Seasons,8.3,India,2025-08-22
Secret 46,Movie,Fantasy,1994.0,125 min,,Australia,2022-06-26
The Return 47,Movie,Music,1981.0,150 min,,   ,2023-11-17
Shadow Tales 48,Movie,,1994.0,197 min,7.4,UK,2015-08-11
Fall 49,Movie,Drama,1985.0,195 min,8.4,   ,2023-11-10
Silent Mystery 50,TV Show,Action,1992.0,7 Seasons,7.7,   ,2018-06-18
Story 51,tv show,Drama,2014.0,5 Seasons,6.5,,2024-07-27
Dark Code 52,TV Show,Adventure,   ,9 Seasons,   ,Canada,2021-06-23
Blood End 53,TV Show,Music,2023.0,10 Seasons,9.5,Netherlands,2023-06-14
Fall 54,Movie,Adventure,2019.0,-2 min,,France,2030-05-15
Fall 55,TV Show,History,1992.0,   ,8.1,USA,2020-06-30
Lost Life 56,Movie,Drama,,195 min,,South Korea,09/12/2020
Hidden Secret 57,Movie,Music,1995.0,114 min,9.4,UK,05/08/2024
Blood End 58,Movie,Thriller,2022.0,178 min,,Denmark,2015-05-20
Lies 59,movie,Comedy,,180 min,,Germany,2020
First End 60,Movie,Sci-Fi,1999.0,89 min,8.6,,2018-08-16
,Movie,War,2019.0,69 min,4.2,,   
Beginning 62,TV Show,Sci-Fi,,2 Seasons,4.8,Sweden,2015-07-11
