işlem_id,müşteri_id,işlem_tarihi,işlem_saati,tutar,para_birimi,işlem_tipi,kanal,cihaz,ip_adresi,konum_il,kart_türü,merchant_kategori,fraud_etiket
TRX5186504188,C4678406811,2024-03-09,12:06:51,106.33,TRY,Alışveriş,Çağrı Merkezi,Xiaomi Mi 11,83.148.127.85,Adana,Kredi Kartı,Yemek,0
TRX5214689787,C7608940281,2025-08-12,18:15:45,60.34,,Havale/EFT,Web,Android Tablet,80.234.156.27,Adana,Kredi Kartı,Yemek,0
TRX0901627278,C8355947348,2025-05-13,20:17:38,,TRY,Havale/EFT,Mobil Uygulama,Huawei P40,56.212.24.17,Balıkesir,Kredi Kartı,Sağlık,0
TRX7638251798,C1555199443,,22:46:38,46.08,TRY,Para Çekme,Mobil Uygulama,iPhone 13,85.194.167.126,Balıkesir,Sanal Kart,Elektronik,0
TRX3649025747,C4282753325,2024-11-25,02:53:49,122.68,TRY,Alışveriş,Mobil Uygulama,Android Tablet,,Konya,Kredi Kartı,Seyahat,0
TRX9786774722,C3454783639,2025-10-16,03:09:00,60.25,USD,Para Çekme,Web,Samsung S21,208.69.97.169,Bursa,Kredi Kartı,Kuyumcu,0
TRX5349862306,C3543830158,,15:50:52,78.41,,Alışveriş,Web,mac book,220.20.14.110,Bursa,Banka Kartı,Yemek,0
TRX3829270597,C1623122068,2025-06-15,01:21:03,278.33,TRY,Alışveriş,ATM,,,Kocaeli,Kredi Kartı,Sağlık,0
TRX3549693901,C0530832415,2024-06-02,14:45:08,201.84,,Havale/EFT,Mobil Uygulama,Huawei P40,,Tekirdağ,Kredi Kartı,Seyahat,0
TRX9984103618,C9597252516,2024-03-12,02:59:43,277.18,TRY,İade,Mobil Uygulama,Windows PC,,Şanlıurfa,Kredi Kartı,Abonelik,0
TRX5847651965,C8699229745,2025-02-05,17:46:19,43.18,TRY,Alışveriş,POS,Xiaomi Mi 11,146.70.83.110,Mersin,Kredi Kartı,Eğlence,0
TRX5501887167,C5199732571,2026-01-13,13:15:51,84.62,EUR,Fatura Ödeme,Web,Huawei P40,128.205.5.50,Gaziantep,Kredi Kartı,Abonelik,0
TRX6099727552,C3425898298,2025-07-14,,128.48,TRY,Fatura Ödeme,Web,Win pc,22.84.115.47,Ankara,Banka Kartı,Abonelik,0
TRX8400883672,C5825029859,02.08.2025,20:33:40,119.06,TRY,Para Çekme,Web,Windows PC,5.78.3.245,Manisa,Kredi Kartı,Akaryakıt,0
TRX9726504328,C2625674628,2025-06-30,07:09:24,141.18,,Alışveriş,Mobil Uygulama,,98.246.57.12,Muğla,Kredi Kartı,Elektronik,0
TRX6952304184,C7397613627,2025-08-21,01:55:54,109.7,TRY,Para Çekme,Mobil Uygulama,Samsung S23,249.250.189.204,Ankara,Banka Kartı,Eğlence,0
TRX3371587341,C8404220688,2025-01-26,13:24:48,76.54,TRY,Para Çekme,,Android Tablet,85.190.254.35,Şanlıurfa,Ön Ödemeli,Yemek,0
TRX7063987241,C0825643490,07.04.2024,12:52:48,,TRY,Havale/EFT,ATM,,47.68.251.16,Balıkesir,Sanal Kart,Akaryakıt,0
TRX6452546993,C3482243306,2025-10-01,10:28:28,,TRY,Havale/EFT,POS,iPhone 13,133.52.160.203,Kocaeli,Banka Kartı,Akaryakıt,0
TRX2538777701,C5882227372,2024-12-09,15:32:38,"25,02",TRY,Alışveriş,Web,MacBook,98.144.38.174,Bursa,Kredi Kartı,Giyim,0
TRX3012105804,C5579861999,2025-01-16,16:50:01,149.07,TRY,Alışveriş,Web,MacBook,129.122.140.46,Kayseri,Kredi Kartı,Akaryakıt,0
TRX7089161710,C8176406102,2024-10-09,,25.95,TRY,Havale/EFT,Çağrı Merkezi,,bilinmiyor,İzmir,Kredi Kartı,E-Ticaret,0
TRX9782786650,C3971977218,2024-05-19,,45.5,TRY,Fatura Ödeme,Mobil Uygulama,Huawei P40,246.32.77.184,Balıkesir,Banka Kartı,Giyim,0
TRX1177500331,C7874855958,2025-12-07,06:07:07,95.95,TRY,Fatura Ödeme,ATM,Windows PC,64.151.245.213,Bursa,Banka Kartı,Giyim,0
TRX1260841909,C8173742263,2025-08-18,12:19:42,22.1,TRY,Alışveriş,Mobil Uygulama,Windows PC,569.131.226.30,Samsun,Banka Kartı,Akaryakıt,0
TRX4254132176,C5707904917,2025-05-05,05:40:07,160.74,,Alışveriş,Mobil Uygulama,iPhone 13,,Kayseri,Kredi Kartı,Yemek,0
TRX1298173961,C8887316080,2024-11-02,16:01:13,63.08,TRY,Alışveriş,Mobil Uygulama,Huawei P40,182.100.109.76,Eskişehir,Kredi Kartı,Abonelik,0
TRX7928054407,C5335413493,2025-09-18,00:08:19,189.2,TRY,Alışveriş,ATM,Windows PC,103.168.101.57,Ankara,Banka Kartı,E-Ticaret,0
TRX9963942521,C5489558149,19-02-2025,14:23:00,96.39,TRY,İade,Mobil Uygulama,MacBook,217.127.208.25,,Kredi Kartı,Abonelik,0
TRX8682713631,C3866667730,2024-12-03,,,TRY,Alışveriş,,Huawei P40,175.131.78.83,Kony,, Elektronik,1
TRX2716526960,C1998604160,2024-12-09,00:35:40,55.97,TRY,Alışveriş,Mobil Uygulama,Windows PC,106.123.199.27,,Ön Ödemeli,Market,0
TRX0921755478,C2804105987,2024-06-22,00:39:27,68.09,TRY,Alışveriş,Web,Huawei P40,115.208.46.131,Muğla,Banka Kartı,Sağlık,1
TRX2680796365,C0754706012,2024/03/11,15:38:19,92.42,TRY,Alışveriş,ATM,Huawei P40,222.4.174.208,Adana,Kredi Kartı,Seyahat,0
TRX3979412639,C5481882709,2025-02-26,11:13:50,39.23,USD,Alışveriş,Mobil Uygulama,Android Tablet,77.2.225.175,Manisa,Banka Kartı,,0
TRX0439060303,C4430756139,2025-11-07,13:14:01,174.69,TRY,Alışveriş,ATM,MacBook,97.155.25.3,,Kredi Kartı,Abonelik,1
TRX9001961462,C1094012689,18/02/2024,15:39:37,35.61,USD,Alışveriş,,Samsung S21,53.195.156.117,Diyarbakır,Banka Kartı,Elektronik,0
TRX1751875438,C5379006207,2025-10-16,04:42:30,110.59,TRY,Alışveriş,POS,iPhone 13,64.135.139.48,Gaziantep,Kredi Kartı,Giyim,0
TRX1953518279,C7086843381,2025-09-22,14:52:44,68.48,TRY,Alışveriş,Mobil Uygulama,Xiaomi Mi 11,154.186.80.236,Konya,Kredi Kartı,Giyim,0
TRX0235571312,C5161710825,29-07-2024,11:27:35,"188,25",TRY,Havale/EFT,Mobil Uygulama,,15.23.84.205,Muğla,Sanal Kart,Seyahat,0
TRX4879936222,C1806238994,2025-04-26,,83.04,TRY,,Mobil Uygulama,Windows PC,74.80.15.219,Antalya,Kredi Kartı,Akaryakıt,0
TRX8997867667,C6492874110,05/05/2024,11:58:21,111.79,TRY,Para Yatırma,Mobil Uygulama,Samsung S21,199.146.164.79,Ankara,Banka Kartı,Elektronik,0
