gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,MonthlyCharges_category
0,-0.4474048350192824,1,0,0.8295416934968546,1,1.0,0,-1.4715779169424212,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0
1,2.235112188621971,0,0,0.7888067940445699,0,0.0,1,-0.5408587802255295,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1
0,-0.4474048350192824,1,1,-1.288673078021946,1,0.0,1,0.4978902562888586,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
1,2.235112188621971,1,0,1.6035047830902625,1,2.0,0,0.40814233953401535,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,2
1,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,0,0.6458081190885075,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
0,-0.4474048350192824,0,0,-0.2703005917148303,1,0.0,1,1.1776476257838742,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2
1,-0.4474048350192824,1,1,1.4813000847334086,1,2.0,0,-1.4915218984434973,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0
0,-0.4474048350192824,1,1,0.666602095687716,1,2.0,1,1.4252853960889045,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,2,2
0,-0.4474048350192824,0,0,1.114685989662847,1,2.0,0,-1.3319700464348874,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2,0
0,-0.4474048350192824,0,0,-1.166468379665092,1,0.0,0,-0.47770283880545455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,-0.4474048350192824,1,1,-0.39250529007168417,1,1.0,1,-1.4981698922771896,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,-0.4474048350192824,1,0,-0.18883079281026105,1,0.0,0,1.0480117460268783,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,2
1,2.235112188621971,1,1,-0.3517703906193996,1,0.0,1,0.4912422624551664,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
1,-0.4474048350192824,0,0,0.17778330226030056,0,2.0,0,-0.972978379415515,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1
0,-0.4474048350192824,1,0,0.014843704451162058,1,1.0,1,-0.37632093284165036,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1
1,2.235112188621971,1,0,1.3590953863765547,1,0.0,1,1.162689639658067,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2
1,2.235112188621971,1,0,0.014843704451162058,1,0.0,1,1.4901033359674023,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,2,2
1,-0.4474048350192824,0,0,1.0739510902105622,1,2.0,0,-1.5197758722366888,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2,0
1,-0.4474048350192824,0,0,-1.2479381785696613,1,0.0,1,0.5627081961673565,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
1,-0.4474048350192824,1,0,0.9517463918537085,0,1.0,1,-0.36634894209111235,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,1
0,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,1,0.5726801869178945,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
0,-0.4474048350192824,1,1,0.992481291305993,1,1.0,1,0.9948277953573419,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,2
1,-0.4474048350192824,1,0,1.3998302858288394,1,2.0,1,0.1372365908110632,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2,1
1,-0.4474048350192824,0,0,-0.636914686785392,1,0.0,1,0.8602059202250774,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2
1,-0.4474048350192824,0,0,0.13704840280801595,1,0.0,1,0.4696362824956674,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,2,2
0,-0.4474048350192824,1,1,0.09631350335573131,1,0.0,1,-1.307040069558542,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,2,0
1,-0.4474048350192824,1,1,-1.288673078021946,1,0.0,0,-1.4998318907356125,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,-0.4474048350192824,0,0,-0.14809589335797643,1,1.0,1,0.3416624011970945,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,2
1,-0.4474048350192824,0,0,-0.2703005917148303,1,0.0,1,0.908403875519345,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2
0,2.235112188621971,1,0,-1.288673078021946,1,0.0,1,0.3117464289454804,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
0,2.235112188621971,1,1,-0.4332401895239688,1,0.0,0,0.6740620928816987,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
0,2.235112188621971,0,0,-0.025891195001122566,1,0.0,0,0.8602059202250774,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2
0,2.235112188621971,1,0,1.114685989662847,1,0.0,1,1.3571434592935607,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,2
1,-0.4474048350192824,0,0,-1.288673078021946,1,0.0,0,-1.4981698922771896,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,-0.4474048350192824,1,1,0.666602095687716,1,1.0,1,0.9499538369799205,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,2
0,2.235112188621971,1,0,1.6035047830902625,1,2.0,0,0.44470630561932206,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,2,2
1,-0.4474048350192824,1,1,1.114685989662847,1,1.0,0,-1.3668720140617707,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
0,-0.4474048350192824,1,0,-0.7183844856899612,1,0.0,1,0.6391601252548154,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2
1,-0.4474048350192824,1,1,-0.18883079281026105,1,1.0,0,1.3637914531272524,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,2
0,-0.4474048350192824,0,0,0.2592531011648698,1,2.0,0,-1.4931838969019204,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2,0
