+------+------------------------------+--------+--------+---------+--------+------------+---------+---------+----------+
| Sıra |            Model             | Train  |  Test  | CV Ort. | CV Std | Ana Metrik | Overfit | Süre(s) |  Durum   |
+------+------------------------------+--------+--------+---------+--------+------------+---------+---------+----------+
|  1   |     Logistic Regression      | 0.8026 | 0.7902 |  0.7966 | 0.0142 |   0.7902   |  0.0124 |  1.231  | Başarılı |
|  2   |   Logistic Regression (L2)   | 0.8026 | 0.7902 |  0.7966 | 0.0142 |   0.7902   |  0.0124 |  1.228  | Başarılı |
|  3   | Random Forest (max_depth=10) | 0.8641 | 0.7890 |  0.7863 | 0.0120 |   0.7890   |  0.0751 |  0.646  | Başarılı |
|  4   |   Logistic Regression (L1)   | 0.8010 | 0.7888 |  0.7969 | 0.0148 |   0.7888   |  0.0122 |  1.332  | Başarılı |
|  5   |      Gradient Boosting       | 0.8183 | 0.7887 |  0.7931 | 0.0139 |   0.7887   |  0.0296 |  1.018  | Başarılı |
|  6   | Decision Tree (max_depth=5)  | 0.8010 | 0.7884 |  0.7876 | 0.0184 |   0.7884   |  0.0126 |  0.197  | Başarılı |
|  7   |     Linear Discriminant      | 0.7983 | 0.7860 |  0.7951 | 0.0101 |   0.7860   |  0.0123 |  0.162  | Başarılı |
|  8   |       Ridge Classifier       | 0.7897 | 0.7841 |  0.7864 | 0.0132 |   0.7841   |  0.0056 |  0.407  | Başarılı |
|  9   |          SVM (RBF)           | 0.7992 | 0.7838 |  0.7846 | 0.0133 |   0.7838   |  0.0153 |  6.746  | Başarılı |
|  10  |           AdaBoost           | 0.8041 | 0.7802 |  0.7939 | 0.0133 |   0.7802   |  0.0239 |  0.645  | Başarılı |
|  11  |           LightGBM           | 0.8685 | 0.7753 |  0.7845 | 0.0073 |   0.7753   |  0.0931 |  2.519  | Başarılı |
|  12  |           XGBoost            | 0.9427 | 0.7711 |  0.7717 | 0.0058 |   0.7711   |  0.1716 |  0.921  | Başarılı |
|  13  |           Bagging            | 0.9979 | 0.7600 |  0.7706 | 0.0105 |   0.7600   |  0.2379 |  2.095  | Başarılı |
|  14  |        Random Forest         | 0.9977 | 0.7587 |  0.7759 | 0.0144 |   0.7587   |  0.2389 |  0.918  | Başarılı |
|  15  |          KNN (k=5)           | 0.8331 | 0.7483 |  0.7595 | 0.0137 |   0.7483   |  0.0848 |  1.751  | Başarılı |
|  16  |      MLP Neural Network      | 0.9282 | 0.7482 |  0.7365 | 0.0062 |   0.7482   |  0.1800 |  10.989 | Başarılı |
|  17  |         Extra Trees          | 0.9979 | 0.7386 |  0.7624 | 0.0090 |   0.7386   |  0.2592 |  0.865  | Başarılı |
|  18  |        Decision Tree         | 0.9979 | 0.7194 |  0.7201 | 0.0109 |   0.7194   |  0.2785 |  0.203  | Başarılı |
|  19  |         Naive Bayes          | 0.6767 | 0.6687 |  0.6750 | 0.0068 |   0.6687   |  0.0081 |  0.147  | Başarılı |
|  20  |       Baseline (Dummy)       | 0.6233 | 0.6228 |  0.6233 | 0.0002 |   0.6228   |  0.0005 |  1.233  | Başarılı |
+------+------------------------------+--------+--------+---------+--------+------------+---------+---------+----------+
