iter	Logloss
0	0.5837578532
1	0.5208606244
2	0.4833415352
3	0.4609093969
4	0.4444626192
5	0.4355475275
6	0.4271200646
7	0.4193473702
8	0.4146370918
9	0.4112756774
10	0.4075836377
11	0.4049299353
12	0.4026762894
13	0.4003134501
14	0.3981123562
15	0.3954968932
16	0.3944886167
17	0.3928226137
18	0.3908976788
19	0.3892031375
20	0.3873499832
21	0.3867371084
22	0.3847946852
23	0.3840466021
24	0.3830406749
25	0.381881529
26	0.381069061
27	0.3796043478
28	0.378840647
29	0.3784233632
30	0.3780061228
31	0.3774338367
32	0.37652018
33	0.3754311614
34	0.3746615877
35	0.3734617226
36	0.3726030541
37	0.3718728074
38	0.37080541
39	0.3704810493
40	0.3694342724
41	0.3686003573
42	0.3674918492
43	0.3668025826
44	0.3659038476
45	0.3646448615
46	0.3642928109
47	0.3636661891
48	0.3635895798
49	0.3632299161
50	0.3618787465
51	0.3613452218
52	0.3602180073
53	0.3593432208
54	0.3580717928
55	0.3565685792
56	0.3558870127
57	0.3548091092
58	0.3536515294
59	0.3522960095
60	0.351300175
61	0.3500467139
62	0.3495589112
63	0.3478877747
64	0.3467018524
65	0.3459586417
66	0.3447802238
67	0.3438840337
68	0.3433058964
69	0.3426648097
70	0.3413289533
71	0.3404805516
72	0.3395050984
73	0.3389303543
74	0.3383062122
75	0.3376324763
76	0.3366883455
77	0.3359952289
78	0.3353249733
79	0.3340433873
80	0.3336244068
81	0.3331722768
82	0.3320569387
83	0.3314232911
84	0.3307336765
85	0.330085042
86	0.3294714277
87	0.3287589086
88	0.3279336289
89	0.3269248087
90	0.3262509858
91	0.3252346395
92	0.3246305524
93	0.3236360448
94	0.3227131436
95	0.321938306
96	0.3211850678
97	0.3196887929
98	0.3191927246
99	0.3181412711
