iter	Passed	Remaining
0	152	15059
1	155	7615
2	158	5128
3	161	3877
4	164	3128
5	168	2637
6	171	2280
7	174	2006
8	177	1797
9	180	1622
10	182	1479
11	185	1359
12	188	1260
13	191	1173
14	193	1097
15	196	1030
16	198	971
17	201	918
18	204	873
19	207	830
20	210	791
21	212	754
22	215	722
23	218	691
24	221	663
25	223	636
26	226	612
27	228	588
28	231	567
29	234	546
30	237	527
31	239	509
32	242	492
33	244	475
34	247	459
35	249	444
36	252	430
37	255	417
38	258	404
39	261	391
40	263	379
41	266	368
42	269	357
43	272	346
44	275	336
45	277	325
46	280	315
47	284	307
48	286	297
49	288	288
50	291	280
51	294	271
52	297	263
53	300	255
54	303	247
55	305	240
56	308	232
57	311	225
58	314	218
59	317	211
60	320	204
61	323	198
62	325	191
63	328	184
64	331	178
65	334	172
66	338	166
67	340	160
68	343	154
69	346	148
70	348	142
71	351	136
72	354	131
73	357	125
74	359	119
75	362	114
76	365	109
77	367	103
78	370	98
79	373	93
80	375	88
81	378	83
82	380	78
83	383	73
84	386	68
85	389	63
86	392	58
87	394	53
88	398	49
89	401	44
90	404	39
91	406	35
92	409	30
93	413	26
94	416	21
95	418	17
96	421	13
97	424	8
98	427	4
99	430	0
