Model,Train F1,Test F1,CV Ort.,CV Std,ROC-AUC,Recall,Precision,Overfit,Süre (s),Durum
1. Dummy Classifier (Baseline),0.6233,0.6228,0.6233,0.0002,0.5,0.735,0.5403,0.0005,1.225,✅ Başarılı
2. Logistic Regression,0.769,0.766,0.7678,0.0095,0.8411,0.7536,0.8042,0.003,1.032,✅ Başarılı
3. Ridge Classifier,0.7655,0.7604,0.7616,0.007,0.8414,0.7472,0.8033,0.0051,1.035,✅ Başarılı
4. SGD Classifier,0.7576,0.7602,0.7415,0.0161,0.8272,0.7472,0.8005,-0.0026,1.114,✅ Başarılı
5. Passive Aggressive,0.634,0.613,0.7072,0.0344,0.5953,0.5912,0.6588,0.021,0.153,✅ Başarılı
6. Perceptron,0.7008,0.7077,0.6907,0.0328,0.7642,0.6902,0.7653,-0.0068,0.135,✅ Başarılı
7. KNN,0.832,0.771,0.7686,0.0123,0.779,0.7785,0.7676,0.061,1.52,✅ Başarılı
8. Linear Discriminant,0.8001,0.7852,0.7958,0.0112,0.8394,0.7927,0.7826,0.0148,0.161,✅ Başarılı
9. Quadratic Discriminant,,,,,,,,,0.013,❌ Hata: The covariance matrix of class 0 is not full rank.
10. Decision Tree,0.9979,0.7141,0.7239,0.0158,0.6223,0.7194,0.71,0.2838,0.179,✅ Başarılı
11. Random Forest,0.9979,0.762,0.7713,0.0091,0.8091,0.7764,0.76,0.2359,0.843,✅ Başarılı
12. Extra Trees,0.9979,0.7498,0.7587,0.0124,0.7798,0.7621,0.7457,0.2481,0.938,✅ Başarılı
13. Gradient Boosting,0.818,0.7871,0.7918,0.0101,0.8421,0.7963,0.7851,0.031,1.151,✅ Başarılı
14. AdaBoost,0.8012,0.7846,0.7948,0.0119,0.8393,0.7934,0.7823,0.0166,0.675,✅ Başarılı
15. Bagging,0.9979,0.7555,0.7728,0.0138,0.8091,0.7678,0.7519,0.2424,2.189,✅ Başarılı
16. Naive Bayes,0.7194,0.7104,0.7196,0.0049,0.8119,0.6923,0.7946,0.0091,0.139,✅ Başarılı
17. SVM (RBF),0.7959,0.7698,0.7666,0.008,0.8258,0.7585,0.8006,0.0261,5.64,✅ Başarılı
18. Linear SVM,0.7664,0.7597,0.7644,0.0077,0.8413,0.7464,0.8023,0.0067,0.163,✅ Başarılı
19. MLP Neural Network,0.9602,0.747,0.7501,0.0169,0.7867,0.7528,0.7431,0.2132,7.351,✅ Başarılı
20. Calibrated Classifier,0.799,0.7917,0.7941,0.0115,0.8404,0.802,0.7908,0.0073,0.222,✅ Başarılı
21. XGBoost,0.9287,0.774,0.7667,0.0072,0.8154,0.7678,0.7845,0.1547,0.561,✅ Başarılı
22. LightGBM,0.8601,0.775,0.7723,0.0071,0.8366,0.765,0.8001,0.0851,2.104,✅ Başarılı
23. CatBoost,,,,,,,,,0.368,❌ Hata: The following error was raised: 'CatBoostClassifie
