Threshold,Recall,Precision,F1,Accuracy,Recall_Churn,Precision_Churn,F1_Churn,TN,FP,FN,TP,Total_Cost,FN_Cost,FP_Cost
0.1,0.6175213675213675,0.8189182713946419,0.6330382852978788,0.6175213675213675,0.9543010752688172,0.4057142857142857,0.5693664795509222,512,520,17,355,77000,51000,26000
0.15000000000000002,0.6723646723646723,0.8089962164036237,0.6906883502628184,0.6723646723646723,0.8978494623655914,0.4417989417989418,0.5921985815602837,610,422,38,334,135100,114000,21100
0.20000000000000004,0.7165242165242165,0.8054113280535299,0.7330515127786082,0.7165242165242165,0.8440860215053764,0.4801223241590214,0.6120857699805068,692,340,58,314,191000,174000,17000
0.25000000000000006,0.7507122507122507,0.8035599546237844,0.7634962378552123,0.7507122507122507,0.7876344086021505,0.5195035460992907,0.6260683760683761,761,271,79,293,250550,237000,13550
0.30000000000000004,0.7713675213675214,0.8011165219086012,0.7803412449717193,0.7713675213675214,0.7338709677419355,0.5515151515151515,0.629757785467128,810,222,99,273,308100,297000,11100
0.3500000000000001,0.7792022792022792,0.7944150206593644,0.7848204518214549,0.7792022792022792,0.6774193548387096,0.5701357466063348,0.6191646191646192,842,190,120,252,369500,360000,9500
0.40000000000000013,0.7856125356125356,0.7876910426118569,0.786599953223502,0.7856125356125356,0.6102150537634409,0.5926892950391645,0.6013245033112583,876,156,145,227,442800,435000,7800
0.45000000000000007,0.7970085470085471,0.7904169589275971,0.7928540449428976,0.7970085470085471,0.5591397849462365,0.6322188449848024,0.5934379457917262,911,121,164,208,498050,492000,6050
0.5000000000000001,0.801994301994302,0.7907854128945712,0.7917273398754882,0.801994301994302,0.49731182795698925,0.6702898550724637,0.5709876543209876,941,91,187,185,565550,561000,4550
0.5500000000000002,0.7884615384615384,0.7732845431999943,0.7701483434919703,0.7884615384615384,0.40860215053763443,0.6637554585152838,0.5058236272878536,955,77,220,152,663850,660000,3850
0.6000000000000002,0.7784900284900285,0.7610594250462996,0.7505074579050078,0.7784900284900285,0.33064516129032256,0.6648648648648648,0.44165170556552963,970,62,249,123,750100,747000,3100
0.6500000000000001,0.7799145299145299,0.7673379440370449,0.7440577190471547,0.7799145299145299,0.28763440860215056,0.7086092715231788,0.4091778202676864,988,44,265,107,797200,795000,2200
0.7000000000000002,0.76994301994302,0.763310248635204,0.7180636061561908,0.76994301994302,0.20430107526881722,0.7378640776699029,0.32,1005,27,296,76,889350,888000,1350
0.7500000000000002,0.7692307692307693,0.7815750394697765,0.7066926345298782,0.7692307692307693,0.1639784946236559,0.8243243243243243,0.273542600896861,1019,13,311,61,933650,933000,650
0.8000000000000002,0.7556980056980057,0.7794873936097564,0.674681577735256,0.7556980056980057,0.09408602150537634,0.8536585365853658,0.1694915254237288,1026,6,337,35,1011300,1011000,300
0.8500000000000002,0.7457264957264957,0.7837053060309758,0.6495139178127431,0.7457264957264957,0.0456989247311828,0.8947368421052632,0.08695652173913043,1030,2,355,17,1065100,1065000,100
0.9000000000000002,0.7378917378917379,0.8067887667887668,0.6294565519089595,0.7378917378917379,0.010752688172043012,1.0,0.02127659574468085,1032,0,368,4,1104000,1104000,0
