iter	Logloss
0	0.6241438545
1	0.5803248201
2	0.545859172
3	0.5249698123
4	0.5108430707
5	0.5004240945
6	0.4940938528
7	0.4880933507
8	0.4828678015
9	0.4796028833
10	0.477342949
11	0.47416928
12	0.4711086891
13	0.4677930736
14	0.4647913436
15	0.4626209429
16	0.4599456989
17	0.4583691429
18	0.4573087292
19	0.4546181931
20	0.4516077079
21	0.4495022317
22	0.4469569254
23	0.4459401102
24	0.4443095737
25	0.4425355526
26	0.4403692633
27	0.4382782214
28	0.4370199285
29	0.4354541094
30	0.433332513
31	0.4325233083
32	0.431436422
33	0.4301455042
34	0.428730239
35	0.4286574467
36	0.4274754659
37	0.4260733927
38	0.4248159575
39	0.422837195
40	0.4203232122
41	0.4197109698
42	0.4181410689
43	0.4172580366
44	0.4165340176
45	0.4149130645
46	0.41308737
47	0.41308737
48	0.4112985005
49	0.4100323398
50	0.4079826188
51	0.4064868413
52	0.4052408826
53	0.4041208685
54	0.4026096807
55	0.4012038214
56	0.3997757487
57	0.3987011966
58	0.3976422027
59	0.3960824768
60	0.3950559599
61	0.3930572911
62	0.3921477862
63	0.3909306369
64	0.389929794
65	0.3888389146
66	0.3880835721
67	0.3862188342
68	0.3847489377
69	0.3829699474
70	0.3819024941
71	0.3806412138
72	0.3800324912
73	0.3791856333
74	0.3776048772
75	0.3766405931
76	0.37542371
77	0.3743452831
78	0.373600855
79	0.3728676667
80	0.3719730101
81	0.3703525007
82	0.3691890951
83	0.3679082636
84	0.3667509512
85	0.3658679189
86	0.3648046361
87	0.3635326189
88	0.3628162311
89	0.361080928
90	0.3602860689
91	0.3589543921
92	0.3579226398
93	0.3569917498
94	0.3551454983
95	0.3547043667
96	0.3539395887
97	0.3530596917
98	0.3525597583
99	0.3514004642
