iter	Passed	Remaining
0	148	14695
1	151	7408
2	153	4970
3	156	3764
4	159	3027
5	161	2530
6	163	2169
7	165	1899
8	166	1687
9	168	1516
10	170	1377
11	171	1261
12	173	1162
13	175	1076
14	176	1002
15	178	938
16	180	881
17	182	830
18	184	784
19	185	743
20	187	706
21	189	671
22	191	640
23	192	610
24	194	583
25	196	558
26	197	534
27	199	513
28	201	492
29	203	473
30	204	455
31	206	438
32	208	422
33	209	407
34	211	392
35	212	377
36	214	364
37	215	352
38	217	340
39	219	328
40	220	317
41	222	307
42	224	297
43	226	287
44	228	278
45	230	270
46	231	261
47	232	252
48	234	244
49	236	236
50	237	228
51	239	221
52	241	213
53	243	207
54	244	200
55	246	193
56	247	186
57	249	180
58	251	174
59	252	168
60	254	162
61	256	157
62	257	151
63	259	145
64	261	140
65	262	135
66	264	130
67	265	125
68	267	120
69	269	115
70	270	110
71	272	105
72	273	101
73	275	96
74	277	92
75	278	88
76	280	83
77	282	79
78	283	75
79	285	71
80	287	67
81	289	63
82	290	59
83	292	55
84	294	51
85	295	48
86	297	44
87	299	40
88	301	37
89	302	33
90	304	30
91	305	26
92	307	23
93	309	19
94	310	16
95	312	13
96	314	9
97	315	6
98	317	3
99	319	0
