iter	Logloss
0	0.6747692889
1	0.6597053918
2	0.645060091
3	0.6319138377
4	0.6198634571
5	0.6069532801
6	0.597921666
7	0.5877663748
8	0.5788285157
9	0.5719187884
10	0.5649638714
11	0.5565605118
12	0.549313099
13	0.5429831698
14	0.5363709876
15	0.5303584376
16	0.5234479095
17	0.5176861236
18	0.5137638811
19	0.5087563781
20	0.5037463737
21	0.4994970432
22	0.4947817679
23	0.4899751051
24	0.4862664853
25	0.4828115724
26	0.4797257031
27	0.4763935762
28	0.4733344775
29	0.4697198089
30	0.4669785438
31	0.4644286745
32	0.4619108203
33	0.4588527886
34	0.4562082019
35	0.4540636131
36	0.4511165135
37	0.4493180797
38	0.4466258816
39	0.4449457699
40	0.4429222922
41	0.440779271
42	0.4387328561
43	0.4358204163
44	0.4341854556
45	0.4326689056
46	0.4308005669
47	0.4292206426
48	0.4271475671
49	0.4257099633
50	0.4239327688
51	0.4224366783
52	0.4210665214
53	0.4197572478
54	0.4181534923
55	0.416753626
56	0.4156038551
57	0.4128430107
58	0.4120006706
59	0.4108514726
60	0.4090977827
61	0.4074723327
62	0.406230274
63	0.4051755897
64	0.404432924
65	0.4036381681
66	0.4023963316
67	0.4013449912
68	0.3998834637
69	0.3985234709
70	0.3972121235
71	0.3957202217
72	0.3945965651
73	0.3938390275
74	0.3928159476
75	0.3914675246
76	0.3902216888
77	0.3886617329
78	0.3879957154
79	0.3870808434
80	0.3861875848
81	0.3849835321
82	0.383834052
83	0.3827762323
84	0.3811648043
85	0.3802678738
86	0.3792773711
87	0.3783832261
88	0.3773340624
89	0.3764137794
90	0.3758097657
91	0.3746853663
92	0.3737269562
93	0.3721666048
94	0.3709415369
95	0.3698203452
96	0.3692222305
97	0.3680678833
98	0.366989751
99	0.3656747411
