iter	Passed	Remaining
0	139	13799
1	140	6883
2	141	4576
3	142	3422
4	143	2729
5	144	2267
6	145	1937
7	146	1686
8	147	1490
9	148	1333
10	148	1204
11	149	1097
12	150	1006
13	151	928
14	151	859
15	152	800
16	153	747
17	153	700
18	154	659
19	155	621
20	155	586
21	156	555
22	157	527
23	158	501
24	159	477
25	159	455
26	160	434
27	161	415
28	162	397
29	162	379
30	163	363
31	164	348
32	164	334
33	165	321
34	166	309
35	166	296
36	167	285
37	168	274
38	169	264
39	169	254
40	170	245
41	171	236
42	172	228
43	172	220
44	173	212
45	174	204
46	175	197
47	175	190
48	176	183
49	177	177
50	178	171
51	178	165
52	179	159
53	180	153
54	181	148
55	182	143
56	182	137
57	183	133
58	184	128
59	185	123
60	186	119
61	187	114
62	187	110
63	188	106
64	189	102
65	190	98
66	191	94
67	192	90
68	193	86
69	193	83
70	194	79
71	195	76
72	196	72
73	197	69
74	198	66
75	199	62
76	200	59
77	201	56
78	202	53
79	203	50
80	203	47
81	204	44
82	205	42
83	206	39
84	207	36
85	208	33
86	209	31
87	210	28
88	211	26
89	212	23
90	212	21
91	213	18
92	214	16
93	215	13
94	216	11
95	217	9
96	217	6
97	218	4
98	219	2
99	220	0
