,Pregnancies,Glucose,BloodPressure,BMI,DiabetesPedigreeFunction,Age,High_Glucose,High_BMI,Old_Age,Many_Pregnancies,BMI_Age,Glucose_BMI,Glucose_Age,BMI_DiabetesPedigreeFunction
Pregnancies,1.0,0.11042711254569236,0.17139636700133246,-0.005937975136766311,-0.044595122217128136,0.592942218273352,0.11637149540401608,,0.3999666592157116,0.7097595959861489,0.05121059424096311,0.06139710664523782,0.1652366374054405,-0.04693642083910764
Glucose,0.11042711254569236,1.0,0.22915343920194084,0.23621515685647698,0.10399191955350276,0.26718489939365336,0.7612776296386218,,0.16860718761525934,0.13846094125249414,0.2580418288665587,0.778492923677901,0.9955120444112449,0.14716668370076386
BloodPressure,0.17139636700133246,0.22915343920194084,1.0,0.2882989752275073,0.011331870291190151,0.3577086370365382,0.1892426413580153,,0.2810222570062735,0.20557145414184871,0.31832418321654504,0.3284292086675937,0.2567847037389679,0.06458418227880196
BMI,-0.005937975136766311,0.23621515685647698,0.2882989752275073,1.0,0.14228689095851085,0.10388317704206389,0.21127176262432706,,0.03140646335726582,0.0649731091456824,0.9954703002052818,0.7925364507741994,0.23831480055886609,0.32111254701300523
DiabetesPedigreeFunction,-0.044595122217128136,0.10399191955350276,0.011331870291190151,0.14228689095851085,1.0,0.04681647464976671,0.09309153023491681,,0.011901096005243235,0.027947239067099262,0.14428702219244113,0.15992204377261435,0.10504941396781302,0.9810604077502616
Age,0.592942218273352,0.26718489939365336,0.3577086370365382,0.10388317704206389,0.04681647464976671,1.0,0.2508511620047472,,0.7378463007859853,0.516352561968186,0.1977743543321074,0.22969496740013323,0.35699490903884956,0.05814916357221204
High_Glucose,0.11637149540401608,0.7612776296386218,0.1892426413580153,0.21127176262432706,0.09309153023491681,0.2508511620047472,1.0,,0.16589750198973016,0.1288371050888312,0.23212860409719482,0.6181350536978141,0.7631071679633793,0.13206950655242963
High_BMI,,,,,,,,,,,,,,
Old_Age,0.3999666592157116,0.16860718761525934,0.2810222570062735,0.03140646335726582,0.011901096005243235,0.7378463007859853,0.16589750198973016,,1.0,0.4157869198237725,0.10157779973776594,0.12128634022975711,0.23631056344364862,0.013405947112042018
Many_Pregnancies,0.7097595959861489,0.13846094125249414,0.20557145414184871,0.0649731091456824,0.027947239067099262,0.516352561968186,0.1288371050888312,,0.4157869198237725,1.0,0.1138044212042328,0.126159711274337,0.18483338082736314,0.03610996247266822
BMI_Age,0.05121059424096311,0.2580418288665587,0.31832418321654504,0.9954703002052818,0.14428702219244113,0.1977743543321074,0.23212860409719482,,0.10157779973776594,0.1138044212042328,1.0,0.8028981010072738,0.26869169358010153,0.321661925377967
Glucose_BMI,0.06139710664523782,0.778492923677901,0.3284292086675937,0.7925364507741994,0.15992204377261435,0.22969496740013323,0.6181350536978141,,0.12128634022975711,0.126159711274337,0.8028981010072738,1.0,0.776595441785124,0.30241100441121327
Glucose_Age,0.1652366374054405,0.9955120444112449,0.2567847037389679,0.23831480055886609,0.10504941396781302,0.35699490903884956,0.7631071679633793,,0.23631056344364862,0.18483338082736314,0.26869169358010153,0.776595441785124,1.0,0.14788209516780326
BMI_DiabetesPedigreeFunction,-0.04693642083910764,0.14716668370076386,0.06458418227880196,0.32111254701300523,0.9810604077502616,0.05814916357221204,0.13206950655242963,,0.013405947112042018,0.03610996247266822,0.321661925377967,0.30241100441121327,0.14788209516780326,1.0
